,ID_ESCOLA,TX_RESP_Q019_F,TX_RESP_Q023_F,TX_RESP_Q013_C,TX_RESP_Q012_C,TX_RESP_Q014_C,IN_LABORATORIO_CIENCIAS,TX_RESP_Q012_B,IN_COMUM_EJA_FUND,IN_EJA,TX_RESP_Q042_B,TX_RESP_Q041_C,IN_COMUM_FUND_AF,TX_RESP_Q042_C,TX_RESP_Q004_F,TX_RESP_Q004_H,TX_RESP_Q004_G,Classe-IDEB
272,26126079,11.0,8.0,12.0,3.0,19.0,0.0,18.0,0.0,0.0,4.0,1.0,0.0,0.0,1.0,0.0,0.0,Acima da média
273,26126125,13.0,12.0,22.0,7.0,59.0,0.0,44.0,0.0,1.0,22.0,28.0,1.0,3.0,11.0,10.0,5.0,Abaixo da média
274,26126141,2.0,0.0,3.0,0.0,7.0,0.0,10.0,1.0,1.0,4.0,4.0,1.0,1.0,2.0,0.0,1.0,Abaixo da média
275,26126150,0.0,0.0,2.0,0.0,1.0,0.0,3.0,0.0,0.0,2.0,2.0,1.0,0.0,2.0,0.0,0.0,Abaixo da média
276,26126206,2.0,3.0,0.0,0.0,3.0,0.0,3.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,Abaixo da média
277,26126443,1.0,0.0,2.0,1.0,3.0,1.0,4.0,0.0,0.0,3.0,1.0,1.0,0.0,1.0,2.0,1.0,Abaixo da média
278,26126605,4.0,2.0,3.0,1.0,15.0,1.0,16.0,0.0,1.0,6.0,7.0,1.0,2.0,2.0,2.0,4.0,Abaixo da média
279,26126613,0.0,1.0,5.0,2.0,13.0,0.0,14.0,1.0,1.0,8.0,11.0,1.0,3.0,5.0,6.0,6.0,Abaixo da média
280,26127423,2.0,0.0,3.0,0.0,13.0,0.0,11.0,1.0,1.0,5.0,9.0,1.0,5.0,8.0,7.0,3.0,Abaixo da média
281,26127431,14.0,12.0,11.0,5.0,26.0,1.0,35.0,0.0,0.0,20.0,14.0,1.0,3.0,12.0,6.0,7.0,Abaixo da média
282,26127474,6.0,3.0,5.0,2.0,24.0,0.0,19.0,0.0,0.0,11.0,13.0,1.0,6.0,4.0,6.0,1.0,Abaixo da média
283,26127512,9.0,2.0,12.0,6.0,32.0,1.0,28.0,0.0,0.0,17.0,23.0,1.0,4.0,16.0,14.0,7.0,Abaixo da média
284,26127571,3.0,4.0,7.0,2.0,22.0,0.0,21.0,1.0,1.0,10.0,7.0,1.0,3.0,8.0,3.0,5.0,Abaixo da média
285,26128160,2.0,0.0,2.0,0.0,4.0,0.0,10.0,1.0,1.0,3.0,6.0,1.0,3.0,4.0,0.0,2.0,Abaixo da média
286,26128527,1.0,2.0,2.0,2.0,9.0,0.0,4.0,1.0,1.0,10.0,8.0,1.0,3.0,4.0,3.0,4.0,Abaixo da média
287,26128594,2.0,1.0,1.0,1.0,3.0,0.0,4.0,1.0,1.0,1.0,3.0,1.0,1.0,0.0,0.0,1.0,Abaixo da média
288,26128721,9.0,6.0,13.0,2.0,26.0,1.0,23.0,0.0,0.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,Média
289,26172712,38.0,19.0,37.0,8.0,60.0,1.0,58.0,0.0,0.0,2.0,4.0,0.0,0.0,2.0,0.0,0.0,Acima da média
290,26103370,5.0,1.0,0.0,0.0,12.0,0.0,15.0,1.0,1.0,8.0,13.0,0.0,3.0,9.0,1.0,4.0,Abaixo da média
291,26086077,2.0,0.0,1.0,0.0,8.0,1.0,22.0,0.0,1.0,1.0,9.0,0.0,0.0,3.0,2.0,1.0,Acima da média
292,26305615,1.0,0.0,1.0,1.0,11.0,0.0,8.0,0.0,0.0,1.0,2.0,0.0,0.0,3.0,1.0,2.0,Acima da média
293,26011069,40.0,19.0,18.0,12.0,57.0,1.0,58.0,0.0,0.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,Acima da média
294,26011344,10.0,9.0,10.0,0.0,34.0,1.0,42.0,0.0,0.0,7.0,6.0,0.0,0.0,1.0,0.0,1.0,Acima da média
295,26011352,2.0,3.0,0.0,3.0,4.0,0.0,12.0,0.0,0.0,2.0,3.0,1.0,0.0,1.0,0.0,1.0,Abaixo da média
296,26011611,4.0,1.0,5.0,1.0,8.0,1.0,16.0,0.0,0.0,10.0,19.0,1.0,2.0,11.0,3.0,2.0,Abaixo da média
297,26011883,11.0,6.0,18.0,5.0,24.0,1.0,28.0,0.0,0.0,2.0,8.0,1.0,3.0,2.0,0.0,1.0,Abaixo da média
298,26012081,0.0,0.0,1.0,0.0,3.0,0.0,5.0,1.0,1.0,1.0,3.0,1.0,0.0,1.0,0.0,0.0,Média
299,26175509,1.0,2.0,1.0,2.0,3.0,0.0,6.0,0.0,0.0,7.0,3.0,0.0,4.0,4.0,7.0,1.0,Abaixo da média
300,26061023,17.0,2.0,6.0,8.0,30.0,1.0,39.0,0.0,0.0,0.0,6.0,0.0,1.0,1.0,0.0,0.0,Acima da média
301,26061112,2.0,0.0,0.0,1.0,3.0,0.0,5.0,1.0,1.0,3.0,3.0,1.0,1.0,0.0,2.0,1.0,Abaixo da média
302,26154803,10.0,3.0,6.0,6.0,15.0,0.0,29.0,0.0,1.0,1.0,12.0,0.0,0.0,4.0,2.0,3.0,Média
303,26133985,9.0,3.0,3.0,1.0,6.0,0.0,16.0,0.0,0.0,2.0,7.0,0.0,1.0,2.0,0.0,2.0,Abaixo da média
304,26064006,3.0,0.0,0.0,0.0,9.0,0.0,18.0,0.0,0.0,6.0,5.0,1.0,4.0,5.0,2.0,0.0,Média
305,26148447,3.0,0.0,5.0,6.0,17.0,0.0,46.0,1.0,1.0,34.0,21.0,1.0,7.0,14.0,15.0,6.0,Abaixo da média
306,26037599,1.0,2.0,1.0,2.0,20.0,0.0,19.0,0.0,1.0,12.0,15.0,1.0,3.0,7.0,5.0,3.0,Abaixo da média
307,26037904,6.0,3.0,3.0,4.0,14.0,0.0,21.0,1.0,1.0,12.0,23.0,1.0,10.0,9.0,5.0,7.0,Abaixo da média
308,26140144,11.0,4.0,2.0,4.0,19.0,0.0,39.0,0.0,0.0,17.0,20.0,1.0,8.0,14.0,14.0,8.0,Abaixo da média
309,26062410,13.0,4.0,5.0,6.0,32.0,1.0,31.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,Acima da média
310,26086638,6.0,2.0,2.0,2.0,26.0,1.0,25.0,1.0,1.0,9.0,11.0,0.0,5.0,8.0,5.0,1.0,Abaixo da média
311,26104229,12.0,8.0,6.0,4.0,40.0,1.0,36.0,0.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,Acima da média
312,26182084,1.0,0.0,0.0,0.0,8.0,0.0,3.0,1.0,1.0,0.0,3.0,1.0,0.0,1.0,0.0,0.0,Abaixo da média
313,26012359,30.0,6.0,13.0,7.0,36.0,1.0,45.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,Acima da média
314,26013185,3.0,2.0,2.0,5.0,23.0,0.0,19.0,0.0,0.0,11.0,12.0,1.0,6.0,6.0,3.0,5.0,Abaixo da média
315,26013436,2.0,0.0,1.0,1.0,2.0,0.0,13.0,1.0,1.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,Média
316,26019825,2.0,3.0,2.0,0.0,6.0,1.0,24.0,0.0,1.0,4.0,3.0,0.0,1.0,5.0,2.0,0.0,Abaixo da média
317,26019949,2.0,1.0,0.0,2.0,6.0,0.0,10.0,1.0,1.0,8.0,2.0,1.0,1.0,2.0,2.0,0.0,Abaixo da média
318,26129086,3.0,6.0,6.0,3.0,22.0,0.0,25.0,0.0,0.0,2.0,4.0,0.0,0.0,2.0,0.0,0.0,Acima da média
319,26129094,17.0,10.0,14.0,5.0,41.0,1.0,53.0,0.0,1.0,2.0,3.0,0.0,0.0,1.0,0.0,0.0,Abaixo da média
320,26129124,3.0,2.0,6.0,3.0,21.0,0.0,24.0,0.0,1.0,2.0,9.0,0.0,3.0,7.0,1.0,0.0,Abaixo da média
321,26129388,6.0,1.0,12.0,7.0,36.0,0.0,26.0,0.0,0.0,11.0,19.0,1.0,0.0,8.0,1.0,1.0,Abaixo da média
322,26071606,2.0,1.0,2.0,1.0,15.0,1.0,18.0,0.0,0.0,3.0,6.0,0.0,0.0,0.0,0.0,1.0,Acima da média
323,26071673,2.0,2.0,2.0,2.0,8.0,0.0,14.0,0.0,0.0,13.0,9.0,1.0,2.0,9.0,9.0,4.0,Abaixo da média
324,26020882,4.0,3.0,4.0,2.0,27.0,1.0,33.0,0.0,1.0,12.0,14.0,1.0,2.0,9.0,0.0,3.0,Abaixo da média
325,26020963,4.0,0.0,4.0,3.0,18.0,1.0,16.0,0.0,1.0,7.0,10.0,1.0,6.0,5.0,3.0,3.0,Abaixo da média
326,26020971,20.0,12.0,13.0,7.0,46.0,1.0,38.0,1.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,Acima da média
327,26020998,8.0,2.0,3.0,5.0,26.0,0.0,17.0,0.0,1.0,10.0,12.0,1.0,3.0,11.0,6.0,3.0,Abaixo da média
328,26021927,4.0,0.0,1.0,3.0,16.0,1.0,22.0,1.0,1.0,2.0,4.0,1.0,2.0,3.0,0.0,1.0,Abaixo da média
329,26013452,13.0,3.0,3.0,5.0,18.0,0.0,34.0,0.0,0.0,6.0,8.0,0.0,2.0,6.0,1.0,0.0,Abaixo da média
330,26029812,7.0,4.0,6.0,4.0,9.0,0.0,30.0,0.0,0.0,15.0,11.0,1.0,7.0,12.0,5.0,4.0,Abaixo da média
331,26169193,7.0,3.0,1.0,3.0,14.0,1.0,21.0,0.0,0.0,3.0,4.0,0.0,2.0,5.0,0.0,2.0,Abaixo da média
332,26008505,5.0,1.0,3.0,0.0,1.0,0.0,7.0,0.0,0.0,2.0,3.0,1.0,1.0,0.0,3.0,1.0,Acima da média
