ID_ESCOLA,TX_RESP_Q019_F,TX_RESP_Q023_F,TX_RESP_Q013_C,TX_RESP_Q012_C,TX_RESP_Q014_C,IN_LABORATORIO_CIENCIAS,TX_RESP_Q012_B,IN_COMUM_EJA_FUND,IN_EJA,TX_RESP_Q042_B,TX_RESP_Q041_C,IN_COMUM_FUND_AF,TX_RESP_Q042_C,TX_RESP_Q004_F,TX_RESP_Q004_H,TX_RESP_Q004_G,IDEB 2017,Classe-IDEB
26115883,42.0,18.0,36.0,13.0,96.0,1.0,96.0,0.0,0.0,10.0,6.0,0.0,0.0,0.0,0.0,1.0,4.4,Acima da média
26115913,6.0,8.0,9.0,2.0,29.0,0.0,31.0,1.0,1.0,7.0,6.0,1.0,1.0,4.0,1.0,2.0,4.0,Média
26116324,28.0,14.0,26.0,13.0,47.0,1.0,61.0,0.0,1.0,4.0,1.0,0.0,1.0,0.0,0.0,0.0,4.9,Acima da média
26116367,6.0,5.0,6.0,3.0,19.0,0.0,15.0,1.0,1.0,6.0,1.0,1.0,0.0,0.0,0.0,0.0,4.1,Acima da média
26116391,5.0,4.0,9.0,4.0,22.0,0.0,21.0,1.0,1.0,4.0,6.0,1.0,1.0,5.0,3.0,2.0,3.8,Abaixo da média
26116413,3.0,3.0,9.0,4.0,27.0,0.0,27.0,1.0,1.0,4.0,7.0,1.0,1.0,4.0,0.0,2.0,4.1,Acima da média
26117010,0.0,1.0,2.0,0.0,8.0,0.0,8.0,1.0,1.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,3.8,Abaixo da média
26117088,1.0,0.0,1.0,0.0,3.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.8,Abaixo da média
26117274,3.0,1.0,3.0,1.0,5.0,1.0,10.0,0.0,0.0,1.0,4.0,1.0,2.0,1.0,0.0,0.0,3.6,Abaixo da média
26117290,18.0,16.0,11.0,3.0,46.0,1.0,47.0,0.0,0.0,3.0,3.0,0.0,1.0,1.0,0.0,0.0,4.4,Acima da média
26048078,1.0,2.0,3.0,1.0,10.0,0.0,20.0,0.0,1.0,10.0,12.0,1.0,3.0,7.0,8.0,5.0,3.6,Abaixo da média
26058952,0.0,2.0,1.0,1.0,4.0,0.0,3.0,1.0,1.0,3.0,0.0,1.0,0.0,1.0,2.0,0.0,2.8,Abaixo da média
26058960,7.0,3.0,8.0,4.0,15.0,0.0,42.0,0.0,0.0,26.0,22.0,0.0,10.0,11.0,13.0,9.0,3.5,Abaixo da média
26042037,14.0,8.0,15.0,8.0,49.0,1.0,44.0,1.0,1.0,9.0,11.0,0.0,4.0,2.0,2.0,1.0,3.8,Abaixo da média
26042045,0.0,0.0,2.0,2.0,18.0,1.0,17.0,0.0,1.0,4.0,13.0,1.0,2.0,13.0,2.0,0.0,3.3,Abaixo da média
26042070,26.0,8.0,12.0,5.0,42.0,0.0,49.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,4.9,Acima da média
